State	State Code	ZCTA	Congressional District Number	CD	2016 House Margin
MN	27	55952	1	MN1	0.7
MN	27	55953	1	MN1	0.7
MN	27	55954	1	MN1	0.7
MN	27	55955	1	MN1	0.7
MN	27	55956	1	MN1	0.7
MN	27	55959	1	MN1	0.7
MN	27	55960	1	MN1	0.7
MN	27	55961	1	MN1	0.7
MN	27	55962	1	MN1	0.7
MN	27	55963	1	MN1	0.7
MN	27	55964	1	MN1	0.7
MN	27	55965	1	MN1	0.7
MN	27	55967	1	MN1	0.7
MN	27	55969	1	MN1	0.7
MN	27	55970	1	MN1	0.7
MN	27	55971	1	MN1	0.7
MN	27	55972	1	MN1	0.7
MN	27	55973	1	MN1	0.7
MN	27	55974	1	MN1	0.7
MN	27	55975	1	MN1	0.7
MN	27	55976	1	MN1	0.7
MN	27	55977	1	MN1	0.7
MN	27	55979	1	MN1	0.7
MN	27	55982	1	MN1	0.7
MN	27	55985	1	MN1	0.7
MN	27	55987	1	MN1	0.7
MN	27	55990	1	MN1	0.7
MN	27	55991	1	MN1	0.7
MN	27	56001	1	MN1	0.7
MN	27	56003	1	MN1	0.7
MN	27	56007	1	MN1	0.7
MN	27	56009	1	MN1	0.7
MN	27	56010	1	MN1	0.7
MN	27	56011	1	MN1	0.7
MN	27	56013	1	MN1	0.7
MN	27	56014	1	MN1	0.7
MN	27	56016	1	MN1	0.7
MN	27	56017	1	MN1	0.7
MN	27	56019	1	MN1	0.7
MN	27	56020	1	MN1	0.7
MN	27	56021	1	MN1	0.7
MN	27	56022	1	MN1	0.7
MN	27	56023	1	MN1	0.7
MN	27	56024	1	MN1	0.7
MN	27	56025	1	MN1	0.7
MN	27	56026	1	MN1	0.7
MN	27	56027	1	MN1	0.7
MN	27	56028	1	MN1	0.7
MN	27	56029	1	MN1	0.7
MN	27	56031	1	MN1	0.7
MN	27	56032	1	MN1	0.7
MN	27	56033	1	MN1	0.7
MN	27	56034	1	MN1	0.7
MN	27	56035	1	MN1	0.7
MN	27	56036	1	MN1	0.7
MN	27	56037	1	MN1	0.7
MN	27	56039	1	MN1	0.7
MN	27	56041	1	MN1	0.7
MN	27	56042	1	MN1	0.7
MN	27	56043	1	MN1	0.7
MN	27	56044	1	MN1	0.7
MN	27	56045	1	MN1	0.7
MN	27	56046	1	MN1	0.7
MN	27	56047	1	MN1	0.7
MN	27	56048	1	MN1	0.7
MN	27	56050	1	MN1	0.7
MN	27	56051	1	MN1	0.7
MN	27	56052	1	MN1	0.7
MN	27	56054	1	MN1	0.7
MN	27	56055	1	MN1	0.7
MN	27	56056	1	MN1	0.7
MN	27	56057	1	MN1	0.7
MN	27	56058	1	MN1	0.7
MN	27	56060	1	MN1	0.7
MN	27	56062	1	MN1	0.7
MN	27	56063	1	MN1	0.7
